view_name
conversiones_unidad
unidad_medida
unidades_medida
uom_conversion
v_almacen
v_bodega
v_cat_unidades_compat
v_ingenieria_menu_completa
v_insumo
v_items_con_uom
v_lote
v_merma_por_item
v_receta
v_receta_insumo
v_rol
v_stock_actual
v_stock_brechas
v_sucursal
v_unidad_medida_singular_compat
v_usuario
vw_dashboard_formas_pago
vw_dashboard_ordenes
vw_dashboard_resumen_sucursal
vw_dashboard_resumen_terminal
vw_dashboard_ticket_base
vw_dashboard_ventas_categorias
vw_dashboard_ventas_hora
vw_dashboard_ventas_productos
vw_item_last_price
vw_item_last_price_pref
vw_kardex
vw_movimientos_anomalos
vw_pos_map_resuelto
vw_replenishment_dashboard
vw_sesion_dpr
vw_stock_por_lote_fefo
vw_ticket_promedio_sucursal_dia
vw_ventas_por_hora
