file,path,error,chars,preview,report_type,date_range,branch,totals_found
JasperReports - sales_summary_balace_detail.pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_balace_detail.pdf,,712,"TERRENA Hora: Hasta: Desde: 2025 nov 04, 07:55 PM 2025 oct 01 2025 oct 01REPORTE DE RESUMEN DE VENTAS Tipo: Total del Sistema TODOS LOS PERIODOS TODAS LAS SUCURSALES DETALLE DEL BALANCE DE VENTAS CONTEO IDEAL REAL DIFERENCIA RETIRO CAJÓN #92 305 6749.00 9239.0 -2490.00 TOTAL DE RETIROS DE CAJA 305 6749.00 9239.00 -2490.00 TARJETA DE CRÉDITO VENTAS $ VENTAS # DEV. # DEV. $ NETO $ PRP. NET [%] MASTER CARD 1 50.00 0 0.00 50.00 0.00 0.00 VISA 185 11958.00 0 0.00 11958.00 0.00 0.00 TOTAL 186 12008.00 0 0.00 12008.00 0.00 0.00 DEVOLUCIÓN DE VALES DE REGALO 0 0.00 CAMBIO DE VALES DE REGALO 0 0.00 TOTAL DE PROPINAS CARGADAS 0 0.00 DESCUENTO EN PROPINAS 0.00 PROPINAS PAGADAS 0 DIFERENCIA DE PROPINAS 0.0 Pág.: 1",SalesSummary,,,"[('Total', '92'), ('TOTAL', '305'), ('TOTAL', '186'), ('TOTAL', '0')]"
JasperReports - sales_summary_balance_report.pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_balance_report.pdf,,1164,"TERRENA Días: Hora del Reporte:Hasta:Desde: 04 nov 2025, 07:51 01 oct 2025 01 oct 20251REPORTE DE VENTAS Tipo: Total del SistemaTODOS LOS PERIODOS TODAS LAS SUCURSALES BALANCE DE VENTAS TODOS Usuario: RESUMEN DE COBROS: VENTAS BRUTAS C/ IMPUESTO : 21,640.00 +VENTAS SIN IMPUESTO : 0.00 -DESCUENTOS : 284.00 =VENTAS NETAS : 21,356.00 VENTAS NETAS : 21,356.00 +IMPUESTOS : 0.00 =TOTAL INGRESOS : 21,356.00 +VALES DE REGALO VENDIDOS : 0.00 +ENTRADAS A CAJA : 0.00 +PROPINAS CARGADAS : 0.00 =TOTAL COBRADO : 21,356.00 -VENTAS EFECTIVO : 9,339.00 -VENTAS TARJETAS : 11,958.00 -VENTAS A CRÉDITO : 0.00 -DEVOLUCIÓN DE VALES : 0.00 +CAMBIO VALES DE REGALO : 0.00 +CAMBIO EN EFECTIVO : 0.00 =DIFERENCIA EN CAJA : 59.00 RESUMEN EFECTIVO RECIBOS EFECTIVO : 9,339.00 -PROPINAS PAGADAS : 0.00 +DESCUENTO EN…",TaxSummary,,,"[('Total', '21,640.00'), ('TOTAL', '21,356.00'), ('TOTAL', '21,356.00')]"
JasperReports - sales_summary_exception.pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_exception.pdf,,665,"TERRENA REPORTE DE EXCEPCIONESTODAS LAS SUCURSALESTODOS LOS PERIODOS Total del Sistema Tipo:REPORTE DE VENTAS 2025 oct 012025 oct 012025 nov 04, 07:55 PM Desde: Hasta:Hora del Reporte: ********** ANULACIONES / DEVOLUCIONES ********** CÓDIGO MOTIVO MERMA CANT. MONTO 15319 PRUEBA SISTEMAS N 1 16.00 TOTAL ANULACIONES C/MERMA 0.00 TOTAL ANULACIONES 16.00: : ********** DESCUENTOS / CUPONES ********** DESCUENTOS / CUPONES NO NOMBRE#TOTAL #DESC. VTA. NETA # CLIENTEGRUP O# CHSCK[%] US % DESC / 3 40% Colaborador 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4 JGM 1 100.00 214.00 1.00 1.00 214.00 0.00 0.00 1 100.00 214.00 1.00 1.00 214.00 0.00 0.00 TOTAL DESCUENTOS Pág: 1",Voids,,,"[('Total', '2025'), ('TOTAL', '0.00'), ('TOTAL', '16.00'), ('TOTAL', '3'), ('TOTAL', '1')]"
JasperReports - sales_summary_report1 (1).pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_report1 (1).pdf,,931,"TERRENA Hora: 2025 nov 04, 07:45 PM Tipo:REPORTE RESUMEN VENTAS Total Sistema Desde: 2025 oct 01 Días:Hasta: 12025 oct 01 Turno: TODOSCentro TODOS ESTADÍSTICAS CLAVE Capacidad Número de clientes Cliente/Asiento Rotación de mesas Cliente promedioMesas: Número de cheques: Cliente/cheque: Tiempo de rotación: Cheque promedio: Cheques abiertos Cheques anulados Cheques pospuestos Cheques de Cheques reabiertos Cheques sin Monto abierto: Monto anulado Cheques pagados: Monto de Monto reabierto: Monto sin impuesto: Cheques unificados Horas laboradas Horas/ventasMonto unificado: Mano de obra: Costo laboral:0 398 1.00 0.00 53.660 398 1.00 54.37 0 1 0 0 14.73 21,640.000.00 16.00 0.0 0.00 0.00 0.00 0.00: : : : : : : : : : : : : :: : : : : : : : : : : : : : Parte del día Cheque Clientes Platos Ventas…",GenericTotalReport,,,"[('Total', '2025')]"
JasperReports - sales_summary_report2 (1).pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_report2 (1).pdf,,1114,"TERRENA Hora: 2025 nov 04, 07:45 PM Tipo:REPORTE RESUMEN VENTAS Total SistemaDesde: 2025 oct 01 Días: Hasta:1 2025 oct 01Turno: TODOS Centro: TODOS ANÁLISIS DE VENTAS Categoría CantidadProm. netoProm descProm. brutoVentas netas Descuento Bruto % VENTAS COMIDA 16836.0 62.0 16898.0 467 VENTAS NO 4750.0 8.0 4758.0 194 TOTAL VENTAS A&B 21656.00 70.00 21586.00 0.00 0.00 0.00 0.00 661.00 General ALIMENTOS 9232.0 26.0 9258.0 217 BEBIDAS 1575.0 0.0 1575.0 36 POSTRES 1127.0 10.0 1137.0 42 BEBIDAS FRÍAS 3175.0 8.0 3183.0 158 DESAYUNOS 5058.0 26.0 5084.0 137 OTROS 1104.0 0.0 1104.0 49 MAKU 0.0 0.0 0.0 0 MISCELÁNEA 315.0 0.0 315.0 22 TOTAL VENTAS A&B 21656.00 70.00 21586.00 0.00 0.00 0.00 0.00 661.00 ALL DAY ALIMENTOS 9232.0 26.0 9258.0 217 BEBIDAS 1575.0 0.0 1575.0 36 POSTRES 1127.0 10.0 1137.0 42…",GenericTotalReport,,,"[('Total', '2025'), ('TOTAL VENTAS', '21656.00'), ('TOTAL VENTAS', '21656.00'), ('TOTAL VENTAS', '21656.00')]"
JasperReports - sales_summary_report2.pdf,/mnt/data/pdf_extracted/JasperReports - sales_summary_report2.pdf,,1114,"TERRENA Hora: 2025 nov 04, 07:45 PM Tipo:REPORTE RESUMEN VENTAS Total SistemaDesde: 2025 oct 01 Días: Hasta:1 2025 oct 01Turno: TODOS Centro: TODOS ANÁLISIS DE VENTAS Categoría CantidadProm. netoProm descProm. brutoVentas netas Descuento Bruto % VENTAS COMIDA 16836.0 62.0 16898.0 467 VENTAS NO 4750.0 8.0 4758.0 194 TOTAL VENTAS A&B 21656.00 70.00 21586.00 0.00 0.00 0.00 0.00 661.00 General ALIMENTOS 9232.0 26.0 9258.0 217 BEBIDAS 1575.0 0.0 1575.0 36 POSTRES 1127.0 10.0 1137.0 42 BEBIDAS FRÍAS 3175.0 8.0 3183.0 158 DESAYUNOS 5058.0 26.0 5084.0 137 OTROS 1104.0 0.0 1104.0 49 MAKU 0.0 0.0 0.0 0 MISCELÁNEA 315.0 0.0 315.0 22 TOTAL VENTAS A&B 21656.00 70.00 21586.00 0.00 0.00 0.00 0.00 661.00 ALL DAY ALIMENTOS 9232.0 26.0 9258.0 217 BEBIDAS 1575.0 0.0 1575.0 36 POSTRES 1127.0 10.0 1137.0 42…",GenericTotalReport,,,"[('Total', '2025'), ('TOTAL VENTAS', '21656.00'), ('TOTAL VENTAS', '21656.00'), ('TOTAL VENTAS', '21656.00')]"
JasperReports - server_productivity_report.pdf,/mnt/data/pdf_extracted/JasperReports - server_productivity_report.pdf,,3214,"TERRENA REPORTE PRODUCTIVIDAD SERVIDOR Hora del reporte: nov 04 2025, 07:50 PM Desde: oct 01 2025 Hasta: oct 01 2025 CAJERO # CHEQUES CATEGORY # CLIENTES DESCUENT NETO CLIENTE %TOTAL TOTAL TOTAL CHK CHK PROM ASIGNA 10103/Yair Zarate 91 91 5,362.00 58.92 58.92 0.00 1,789.00 ALIMENTOS 260.00 35 51.11 0.00 1,789.00 450.00 BEBIDAS 827.27 11 40.91 0.00 450.00 185.00 POSTRES 1,300.00 7 25.00 10.00 175.00 861.00 BEBIDAS 202.22 45 18.96 8.00 853.00 1,752.00 DESAYUNOS 165.45 55 31.85 0.00 1,752.00 233.00 OTROS 827.27 11 21.18 0.00 233.00 0.00 MAKU 0.00 0 0.00 0.00 0.00 110.00 MISCELÁNEA 2,275.00 4 27.50 0.00 110.00 30102/Luis Ronaldo 0 0 0.00 0.00 0.00 0.00 0.00 ALIMENTOS 0 0.00 0.00 0.00 0.00 BEBIDAS 0 0.00 0.00 0.00 0.00 POSTRES 0 0.00 0.00 0.00 0.00 BEBIDAS 0 0.00 0.00 0.00 0.00 DESAYUNOS 0…",GenericTotalReport,,,"[('TOTAL', '10103'), ('TOTAL', '0.00'), ('TOTAL', '0.00')]"
Journal de Ventas.pdf,/mnt/data/pdf_extracted/Journal de Ventas.pdf,,7795,"Dashboard Caja  Reportes  Inventario  ⛟Compras  Recetas Producción Reportes  ⚙Conﬁguración  Catálogos Perﬁl Personal Auditoría KDS « Jou rnal Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas · Terminal: Todas⎙ Im prim ir Desde 01/10/2025Hasta 01/10/2025Sucursal SELEMTITerminal(es) 101,102 Buscar Lim piar Generado: 04/11/2025 19:37 Líneas Fecha TicketItem Cant. TotalDesc. 01/10/202515229Agua Embotellada 1 L 0.00 $15.00 $0.00 01/10/202515235Agua Embotellada 1 L 0.00 $30.00 $0.00 01/10/202515235Tacos de Guisado 0.00 $57.00 $0.00 01/10/202515478MENU DEL DIA 0.00 $65.00 $0.00 01/10/202515243Naranjada 0.00 $20.00 $0.00 01/10/202515243Cuernito Jamón con Queso 0.00 $45.00 $0.00 01/10/202515244Chilaquiles 0.00 $65.00 $0.00 01/10/202515245Tacos de Guisado 0.00 $38.00 $0.00…",GenericTotalReport,,Todas,"[('Total', '01'), ('Total', '01'), ('Total', '01')]"
Mix de ventas.pdf,/mnt/data/pdf_extracted/Mix de ventas.pdf,,677," Mix de ventas por forma de pago Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas Ventas totales $21,331.00 100%Formas de pago activas 3 Incluye pagos digitales y valesSucursales activas 1 Un solo día  Distribución por forma de pago Forma Monto Participación Tarjeta crédito $11,958.00 56.06% Efectivo $9,323.00 43.71% Tarjeta débito $50.00 0.23%  Participación por sucursal Sucursal Monto Participación PRINCIPAL $21,331.00 100.00%  Detalle de registros Fecha Sucursal Forma de pago Monto 01/10/2025 PRINCIPAL CREDIT_CARD $11,958.00 01/10/2025 PRINCIPAL CASH $9,323.00 01/10/2025 PRINCIPAL DEBIT_CARD $50.00 Sucursal: PRINCIPAL 19:42Mix de ventas 19:42  04/11/2025",GenericTotalReport,,Todas,"[('total', '21,331.00')]"
Resumen de Ventas.pdf,/mnt/data/pdf_extracted/Resumen de Ventas.pdf,,2843,"       ⛟      ⚙       « Resum en de ventas Rango: 01/10/2025 — 01/11/2025 Sucursal: Todas · Terminal: Todas⎙ Im prim ir Desde 01/10/2025Hasta 01/11/2025Sucursal SELEMTITerminal(es) 101,102 Buscar Lim piar Generado: 04/11/2025 19:33 Fecha Sucursal Tickets Bruto Descuento Neto PropinaServicio 01/10/2025 PRIN CIPAL 393 $21,331.00 $70.00 $21,261.00 $0.00 $0.00 02/10/2025 EN TRAD A 13 $495.00 $0.00 $495.00 $0.00 $0.00 02/10/2025 PRIN CIPAL 492 $28,784.80 $103.20 $28,681.60 $0.00 $0.00 03/10/2025 EN TRAD A 16 $445.00 $0.00 $445.00 $0.00 $0.00 03/10/2025 PRIN CIPAL 343 $19,395.20 $90.80 $19,304.40 $0.00 $0.00 04/10/2025 PRIN CIPAL 488 $34,040.20 $102.80 $33,937.40 $0.00 $0.00 06/10/2025 EN TRAD A 6 $185.00 $0.00 $185.00 $0.00 $0.00 06/10/2025 PRIN CIPAL 470 $25,780.40 $83.60…",Unknown,,Todas,[]
Ítems y modificadores.pdf,/mnt/data/pdf_extracted/Ítems y modificadores.pdf,,4189,       ⛟      ⚙       « Ítem s con m od iﬁcadores Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas Inicio/Reportes/Ítems + modiﬁcadores← Volver a mix de ventas ⎙ Imprimir  PDF  Excel Desde 01/10/2025Hasta 01/10/2025Sucursal Todas las sucursales  Buscar  Limpiar Generado: 04/11/2025 19:38 Ítems únicos 28 Productos con modiﬁcadores 1 día analizadoModiﬁcadores únicos 53 Extras aplicadosMonto adicional $763.00 Ingreso extra obtenidoPromedio por selección $2.72 281 selecciones ⭐ Top modiﬁcadores por monto 1.Pollo 39 selecciones$401.00 2.Huevo 7 selecciones$107.00 3.Milanesa 22 selecciones$105.00 4.Pierna 7 selecciones$45.00 5.Pastor 3 selecciones$26.00  Detalle por ítem y modiﬁcador Fecha Ítem ModiﬁcadorCantidad ítemSeleccionesMonto extraSucursal 01/10/2025Boneless 10 pz…,Unknown,,Todas,[]
