,,TERRENA,,,,,,,,,,,
,Reporte Diario de Ventas,,,,,,,,,,,,
,Hora del reporte:,,,"nov 04 2025, 12:28 PM",,,,,,,,,
,Rango de fechas:,,,sep 01 2025  to sep 30 2025 ,,,,,,,,,
,Caja:,,,TODOS,,,,,,,,,
,Moneda:,,,Precio en MXN ($),,,,,,,,,
Item Sales,,,,,,,,,,,,,
ID,,,Nombre,,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,PALÑOMITAS ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,PIERNA,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,PIERNA EN LAS TOSTADAS,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,CLORETS,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,GALLETA ,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,2X MAKU,40.00,,1.0,40.00,0.0,0.0%,0.00,,40.00
0,ENFRIJOLADA EXTRA ,21.00,,2.0,42.00,0.0,0.0%,0.00,,42.00
0,CLORETS,4.00,,6.0,24.00,0.0,0.0%,0.00,,24.00
0,hralthy,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,xtra pastor,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,MILANESA,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,JAMON,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,3 PESOS TORTILLA ,3.00,,1.0,3.00,0.0,0.0%,0.00,,3.00
0,PAN MUERTO NUTELLA ,48.00,,1.0,48.00,0.0,0.0%,0.00,,48.00
0,EXTRA QUESO,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,VASOS,12.00,,1.0,12.00,0.0,0.0%,0.00,,12.00
0,POLVORON ,7.00,,1.0,7.00,0.0,0.0%,0.00,,7.00
0,PALOMITAS,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,maku horc,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,queso,1.00,,1.0,1.00,0.0,0.0%,0.00,,1.00
0,HEALTY,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,HEALY,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,TORTILLA ,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
