"Archivo","Linea","Patron","Riesgo","Contexto","Extension"
"app\Console\Commands\AuditDatabaseDuplicates.php","404","DROP TABLE","ALTO","$report .= ""DROP TABLE IF EXISTS selemti.\""$table\"" CASCADE;\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","413","DROP TABLE","ALTO","$report .= ""DROP TABLE IF EXISTS selemti.\""$table\"" CASCADE;\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","426","DROP TABLE","ALTO","$report .= ""-- DROP TABLE selemti.sucursal CASCADE;\n\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","453","CASCADE","ALTO","$report .= ""2. **Foreign Keys**: CASCADE drops pueden eliminar datos relacionados.\n"";",".php"
"app\Console\Commands\DbSelectCommand.php","40","TRUNCATE","ALTO","$blocked = [' insert ', ' update ', ' delete ', ' drop ', ' alter ', ' truncate ', ' grant ', ' r...",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","51","Schema::drop","MEDIO","Schema::dropIfExists('users');",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","52","Schema::drop","MEDIO","Schema::dropIfExists('password_reset_tokens');",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","53","Schema::drop","MEDIO","Schema::dropIfExists('sessions');",".php"
"database\migrations\0001_01_01_000001_create_cache_table.php","36","Schema::drop","MEDIO","Schema::dropIfExists('cache');",".php"
"database\migrations\0001_01_01_000001_create_cache_table.php","37","Schema::drop","MEDIO","Schema::dropIfExists('cache_locks');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","59","Schema::drop","MEDIO","Schema::dropIfExists('jobs');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","60","Schema::drop","MEDIO","Schema::dropIfExists('job_batches');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","61","Schema::drop","MEDIO","Schema::dropIfExists('failed_jobs');",".php"
"database\migrations\2025_01_23_100000_create_cash_funds_table.php","52","Schema::drop","MEDIO","Schema::dropIfExists('cash_funds');",".php"
"database\migrations\2025_01_23_100001_create_cash_fund_movements_table.php","22","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_01_23_100001_create_cash_fund_movements_table.php","60","Schema::drop","MEDIO","Schema::dropIfExists('cash_fund_movements');",".php"
"database\migrations\2025_01_23_100002_create_cash_fund_arqueos_table.php","25","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_01_23_100002_create_cash_fund_arqueos_table.php","50","Schema::drop","MEDIO","Schema::dropIfExists('cash_fund_arqueos');",".php"
"database\migrations\2025_01_23_110000_create_cash_fund_movement_audit_log_table.php","39","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","65","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","91","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","113","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","118","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","140","Schema::drop","MEDIO","Schema::drop($tableNames['role_has_permissions']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","141","Schema::drop","MEDIO","Schema::drop($tableNames['model_has_roles']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","142","Schema::drop","MEDIO","Schema::drop($tableNames['model_has_permissions']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","143","Schema::drop","MEDIO","Schema::drop($tableNames['roles']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","144","Schema::drop","MEDIO","Schema::drop($tableNames['permissions']);",".php"
"database\migrations\2025_10_18_000004_create_cat_uom_conversion_table.php","28","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_18_000004_create_cat_uom_conversion_table.php","33","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_18_000005_create_inv_stock_policy_table.php","30","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_18_000005_create_inv_stock_policy_table.php","34","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_21_180000_create_item_categories.php","74","CASCADE","ALTO","ON UPDATE CASCADE ON DELETE SET NULL;",".php"
"database\migrations\2025_10_21_180000_create_item_categories.php","99","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.item_categories');",".php"
"database\migrations\2025_10_21_190200_item_code_trigger_and_counter.php","56","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.item_category_counters');",".php"
"database\migrations\2025_10_21_200000_create_item_vendor_prices.php","54","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.item_vendor_prices');",".php"
"database\migrations\2025_10_21_200200_recipe_versioning_and_history.php","72","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.recipe_cost_history');",".php"
"database\migrations\2025_10_21_200200_recipe_versioning_and_history.php","74","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.recipe_version_items');",".php"
"database\migrations\2025_10_21_200200_recipe_versioning_and_history.php","76","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.recipe_versions');",".php"
"database\migrations\2025_10_21_200500_alert_rules_and_events.php","42","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.alert_events');",".php"
"database\migrations\2025_10_21_200500_alert_rules_and_events.php","43","DROP TABLE","ALTO","\Illuminate\Support\Facades\DB::unprepared('DROP TABLE IF EXISTS selemti.alert_rules');",".php"
"database\migrations\2025_10_24_120101_create_purchase_suggestion_lines_table.php","54","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_10_27_100239_create_pos_reverse_log_table.php","56","DROP TABLE","ALTO","DB::connection('pgsql')->statement('DROP TABLE IF EXISTS selemti.pos_reverse_log CASCADE;');",".php"
"database\migrations\2025_10_27_100252_create_pos_reprocess_log_table.php","56","DROP TABLE","ALTO","DB::connection('pgsql')->statement('DROP TABLE IF EXISTS selemti.pos_reprocess_log CASCADE;');",".php"
"database\migrations\2025_10_27_153528_create_personal_access_tokens_table.php","35","Schema::drop","MEDIO","Schema::dropIfExists('personal_access_tokens');",".php"
"database\migrations\2025_11_04_000900_create_additional_sales_report_views.php","45","CASCADE","ALTO","DB::statement(""DROP VIEW IF EXISTS {$view} CASCADE"");",".php"
"database\migrations\2025_11_15_030000_create_pos_consumption_tables.php","43","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_11_15_070000_create_pos_sync_tables.php","45","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_11_15_070000_create_pos_sync_tables.php","72","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_11_15_080000_create_menu_engineering_tables.php","36","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_11_15_100000_create_reporting_tables.php","42","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations_unused\2025_10_20_082400_update_vw_sesion_ventas.php","11","CASCADE","ALTO","DROP VIEW IF EXISTS selemti.vw_sesion_ventas CASCADE;",".php"
"database\migrations_unused\2025_10_20_082400_update_vw_sesion_ventas.php","55","CASCADE","ALTO","DB::statement('DROP VIEW IF EXISTS selemti.vw_sesion_ventas CASCADE');",".php"
"resources\views\components\inventory\item-card.blade.php","12","TRUNCATE","ALTO","<h6 class=""card-title mb-0 fw-bold text-truncate"" title=""{{ $item['nombre'] ?? 'Nombre no disponi...",".php"
"resources\views\components\ui\compact-multi-select.blade.php","43","TRUNCATE","ALTO","<span class=""text-truncate"" data-summary>{{ $placeholder }}</span>",".php"
"resources\views\components\ui\compact-multi-select.blade.php","76","TRUNCATE","ALTO","<span class=""flex-grow-1 text-truncate"">{{ $option['label'] }}</span>",".php"
"resources\views\livewire\cash-fund\movements.blade.php","117","TRUNCATE","ALTO","<div class=""text-truncate"" style=""max-width: 300px;"" title=""{{ $mov['concepto'] }}"">",".php"
"resources\views\reports\sales\detail.blade.php","219","TRUNCATE","ALTO","<td class=""fw-semibold text-truncate"">",".php"
"resources\views\reports\sales\detail.blade.php","413","TRUNCATE","ALTO","<td class=""text-truncate"">{{ $summary['item_name'] }}</td>",".php"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","18","DROP DATABASE","EXTREMO","DROP DATABASE pos;",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21717","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_adj_mov_id_fkey FOREIGN KEY (mov_id) REFERENCES caja_fondo_mov(id) ON D...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21726","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_arqueo_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) O...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21735","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_mov_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) ON D...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21744","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_usuario_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) ...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21753","CASCADE","ALTO","ADD CONSTRAINT cash_fund_arqueos_cash_fund_id_foreign FOREIGN KEY (cash_fund_id) REFERENCES cash_...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21780","CASCADE","ALTO","ADD CONSTRAINT cash_fund_movements_cash_fund_id_foreign FOREIGN KEY (cash_fund_id) REFERENCES cas...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21825","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_destino_id_foreign FOREIGN KEY (destino_id) REFERENCES cat_unid...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21834","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_origen_id_foreign FOREIGN KEY (origen_id) REFERENCES cat_unidad...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21843","CASCADE","ALTO","ADD CONSTRAINT conciliacion_postcorte_id_fkey FOREIGN KEY (postcorte_id) REFERENCES postcorte(id)...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21888","CASCADE","ALTO","ADD CONSTRAINT fk_inventory_snapshot_item FOREIGN KEY (item_id) REFERENCES items(id) ON UPDATE CA...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21897","CASCADE","ALTO","ADD CONSTRAINT fk_pos_map_receta FOREIGN KEY (receta_id) REFERENCES receta_cab(id) ON UPDATE CASC...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21987","CASCADE","ALTO","ADD CONSTRAINT fk_psuggline_suggestion FOREIGN KEY (suggestion_id) REFERENCES purchase_suggestion...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","21996","CASCADE","ALTO","ADD CONSTRAINT fk_purchase_orders_vendor FOREIGN KEY (vendor_id) REFERENCES cat_proveedores(id) O...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22005","CASCADE","ALTO","ADD CONSTRAINT fk_recipe_cost_snap_recipe FOREIGN KEY (recipe_id) REFERENCES receta_cab(id) ON DE...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22023","CASCADE","ALTO","ADD CONSTRAINT fk_ticket_det_cab FOREIGN KEY (ticket_id) REFERENCES ticket_venta_cab(id) ON DELET...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22104","CASCADE","ALTO","ADD CONSTRAINT inv_consumo_pos_det_consumo_id_fkey FOREIGN KEY (consumo_id) REFERENCES inv_consum...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22113","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_item_id_foreign FOREIGN KEY (item_id) REFERENCES items(id) ON DEL...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22122","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_sucursal_id_foreign FOREIGN KEY (sucursal_id) REFERENCES cat_sucu...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22185","CASCADE","ALTO","ADD CONSTRAINT items_category_fk FOREIGN KEY (category_id) REFERENCES item_categories(id) ON UPDA...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22266","CASCADE","ALTO","ADD CONSTRAINT model_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22275","CASCADE","ALTO","ADD CONSTRAINT model_has_roles_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON DELE...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22374","CASCADE","ALTO","ADD CONSTRAINT op_insumo_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22401","CASCADE","ALTO","ADD CONSTRAINT op_yield_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22437","CASCADE","ALTO","ADD CONSTRAINT postcorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DE...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22446","CASCADE","ALTO","ADD CONSTRAINT precorte_efectivo_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(i...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22455","CASCADE","ALTO","ADD CONSTRAINT precorte_otros_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(id) ...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22464","CASCADE","ALTO","ADD CONSTRAINT precorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DEL...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22482","CASCADE","ALTO","ADD CONSTRAINT prod_det_prod_id_fkey FOREIGN KEY (prod_id) REFERENCES prod_cab(id) ON DELETE CASC...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22545","CASCADE","ALTO","ADD CONSTRAINT recepcion_det_recepcion_id_fkey FOREIGN KEY (recepcion_id) REFERENCES recepcion_ca...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22608","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES ...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22617","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22644","CASCADE","ALTO","ADD CONSTRAINT selemti_cash_fund_movement_audit_log_movement_id_foreign FOREIGN KEY (movement_id)...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22653","CASCADE","ALTO","ADD CONSTRAINT selemti_menu_engineering_snapshots_menu_item_id_foreign FOREIGN KEY (menu_item_id)...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22662","CASCADE","ALTO","ADD CONSTRAINT selemti_menu_item_sync_map_menu_item_id_foreign FOREIGN KEY (menu_item_id) REFEREN...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22671","CASCADE","ALTO","ADD CONSTRAINT selemti_pos_sync_logs_batch_id_foreign FOREIGN KEY (batch_id) REFERENCES pos_sync_...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22680","CASCADE","ALTO","ADD CONSTRAINT selemti_report_runs_report_id_foreign FOREIGN KEY (report_id) REFERENCES report_de...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22689","CASCADE","ALTO","ADD CONSTRAINT sol_prod_det_sol_id_fkey FOREIGN KEY (sol_id) REFERENCES sol_prod_cab(id) ON DELET...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22752","CASCADE","ALTO","ADD CONSTRAINT transfer_det_transfer_id_fkey FOREIGN KEY (transfer_id) REFERENCES transfer_cab(id...",".sql"
"BD\00.SelemTI_Normalizada_29_10_25_10_40_v0.sql","22806","CASCADE","ALTO","ADD CONSTRAINT traspaso_det_traspaso_id_fkey FOREIGN KEY (traspaso_id) REFERENCES traspaso_cab(id...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10718","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_destino_id_foreign FOREIGN KEY (destino_id) REFERENCES cat_unid...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10727","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_origen_id_foreign FOREIGN KEY (origen_id) REFERENCES cat_unidad...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10736","CASCADE","ALTO","ADD CONSTRAINT conciliacion_postcorte_id_fkey FOREIGN KEY (postcorte_id) REFERENCES postcorte(id)...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10781","CASCADE","ALTO","ADD CONSTRAINT fk_ticket_det_cab FOREIGN KEY (ticket_id) REFERENCES ticket_venta_cab(id) ON DELET...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10853","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_item_id_foreign FOREIGN KEY (item_id) REFERENCES items(id) ON DEL...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10862","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_sucursal_id_foreign FOREIGN KEY (sucursal_id) REFERENCES cat_sucu...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10898","CASCADE","ALTO","ADD CONSTRAINT items_category_fk FOREIGN KEY (category_id) REFERENCES item_categories(id) ON UPDA...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10979","CASCADE","ALTO","ADD CONSTRAINT model_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","10988","CASCADE","ALTO","ADD CONSTRAINT model_has_roles_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON DELE...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11078","CASCADE","ALTO","ADD CONSTRAINT op_insumo_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11105","CASCADE","ALTO","ADD CONSTRAINT op_yield_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11141","CASCADE","ALTO","ADD CONSTRAINT postcorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DE...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11150","CASCADE","ALTO","ADD CONSTRAINT precorte_efectivo_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(i...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11159","CASCADE","ALTO","ADD CONSTRAINT precorte_otros_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(id) ...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11168","CASCADE","ALTO","ADD CONSTRAINT precorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DEL...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11231","CASCADE","ALTO","ADD CONSTRAINT recepcion_det_recepcion_id_fkey FOREIGN KEY (recepcion_id) REFERENCES recepcion_ca...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11294","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES ...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11303","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON...",".sql"
"BD\Items_Inventario_ConDatos_V2.sql","11411","CASCADE","ALTO","ADD CONSTRAINT traspaso_det_traspaso_id_fkey FOREIGN KEY (traspaso_id) REFERENCES traspaso_cab(id...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16137","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_adj_mov_id_fkey FOREIGN KEY (mov_id) REFERENCES caja_fondo_mov(id) ON D...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16146","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_arqueo_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) O...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16155","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_mov_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) ON D...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16164","CASCADE","ALTO","ADD CONSTRAINT caja_fondo_usuario_fondo_id_fkey FOREIGN KEY (fondo_id) REFERENCES caja_fondo(id) ...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16173","CASCADE","ALTO","ADD CONSTRAINT cash_fund_arqueos_cash_fund_id_foreign FOREIGN KEY (cash_fund_id) REFERENCES cash_...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16200","CASCADE","ALTO","ADD CONSTRAINT cash_fund_movements_cash_fund_id_foreign FOREIGN KEY (cash_fund_id) REFERENCES cas...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16245","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_destino_id_foreign FOREIGN KEY (destino_id) REFERENCES cat_unid...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16254","CASCADE","ALTO","ADD CONSTRAINT cat_uom_conversion_origen_id_foreign FOREIGN KEY (origen_id) REFERENCES cat_unidad...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16263","CASCADE","ALTO","ADD CONSTRAINT conciliacion_postcorte_id_fkey FOREIGN KEY (postcorte_id) REFERENCES postcorte(id)...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16389","CASCADE","ALTO","ADD CONSTRAINT fk_psuggline_suggestion FOREIGN KEY (suggestion_id) REFERENCES purchase_suggestion...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16398","CASCADE","ALTO","ADD CONSTRAINT fk_ticket_det_cab FOREIGN KEY (ticket_id) REFERENCES ticket_venta_cab(id) ON DELET...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16470","CASCADE","ALTO","ADD CONSTRAINT inv_consumo_pos_det_consumo_id_fkey FOREIGN KEY (consumo_id) REFERENCES inv_consum...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16479","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_item_id_foreign FOREIGN KEY (item_id) REFERENCES items(id) ON DEL...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16488","CASCADE","ALTO","ADD CONSTRAINT inv_stock_policy_sucursal_id_foreign FOREIGN KEY (sucursal_id) REFERENCES cat_sucu...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16524","CASCADE","ALTO","ADD CONSTRAINT items_category_fk FOREIGN KEY (category_id) REFERENCES item_categories(id) ON UPDA...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16605","CASCADE","ALTO","ADD CONSTRAINT model_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16614","CASCADE","ALTO","ADD CONSTRAINT model_has_roles_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON DELE...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16704","CASCADE","ALTO","ADD CONSTRAINT op_insumo_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16731","CASCADE","ALTO","ADD CONSTRAINT op_yield_op_id_fkey FOREIGN KEY (op_id) REFERENCES op_cab(id) ON DELETE CASCADE;",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16767","CASCADE","ALTO","ADD CONSTRAINT postcorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DE...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16776","CASCADE","ALTO","ADD CONSTRAINT precorte_efectivo_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(i...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16785","CASCADE","ALTO","ADD CONSTRAINT precorte_otros_precorte_id_fkey FOREIGN KEY (precorte_id) REFERENCES precorte(id) ...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16794","CASCADE","ALTO","ADD CONSTRAINT precorte_sesion_id_fkey FOREIGN KEY (sesion_id) REFERENCES sesion_cajon(id) ON DEL...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16812","CASCADE","ALTO","ADD CONSTRAINT prod_det_prod_id_fkey FOREIGN KEY (prod_id) REFERENCES prod_cab(id) ON DELETE CASC...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16875","CASCADE","ALTO","ADD CONSTRAINT recepcion_det_recepcion_id_fkey FOREIGN KEY (recepcion_id) REFERENCES recepcion_ca...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16938","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_permission_id_foreign FOREIGN KEY (permission_id) REFERENCES ...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16947","CASCADE","ALTO","ADD CONSTRAINT role_has_permissions_role_id_foreign FOREIGN KEY (role_id) REFERENCES roles(id) ON...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16965","CASCADE","ALTO","ADD CONSTRAINT selemti_cash_fund_movement_audit_log_movement_id_foreign FOREIGN KEY (movement_id)...",".sql"
"BD\SelemTI_Estrucutra_Pedido_23_10_25.sql","16974","CASCADE","ALTO","ADD CONSTRAINT selemti_menu_engineering_snapshots_menu_item_id_foreign FOREIGN KEY (menu_item_id)...",".sql"
